time,count,site,month
2015-07-01 00:00:00,14.0,chanet,2015-07
2015-07-02 00:00:00,49.0,chanet,2015-07
2015-07-03 00:00:00,11.0,chanet,2015-07
2015-07-04 00:00:00,9.0,chanet,2015-07
2015-07-05 00:00:00,23.0,chanet,2015-07
2015-07-06 00:00:00,7.0,chanet,2015-07
2015-07-07 00:00:00,15.0,chanet,2015-07
2015-07-08 00:00:00,11.0,chanet,2015-07
2015-07-09 00:00:00,15.0,chanet,2015-07
2015-07-10 00:00:00,27.0,chanet,2015-07
2015-07-11 00:00:00,18.0,chanet,2015-07
2015-07-12 00:00:00,72.0,chanet,2015-07
2015-07-13 00:00:00,38.0,chanet,2015-07
2015-07-14 00:00:00,45.0,chanet,2015-07
2015-07-15 00:00:00,31.0,chanet,2015-07
2015-07-16 00:00:00,10.0,chanet,2015-07
2015-07-17 00:00:00,20.0,chanet,2015-07
2015-07-18 00:00:00,24.0,chanet,2015-07
2015-07-19 00:00:00,27.0,chanet,2015-07
2015-07-20 00:00:00,8.0,chanet,2015-07
2015-07-21 00:00:00,26.0,chanet,2015-07
2015-07-22 00:00:00,40.0,chanet,2015-07
2015-07-23 00:00:00,28.0,chanet,2015-07
2015-07-24 00:00:00,54.0,chanet,2015-07
2015-07-25 00:00:00,34.0,chanet,2015-07
2015-07-26 00:00:00,21.0,chanet,2015-07
2015-07-27 00:00:00,67.0,chanet,2015-07
2015-07-28 00:00:00,62.0,chanet,2015-07
2015-07-29 00:00:00,53.0,chanet,2015-07
2015-07-30 00:00:00,43.0,chanet,2015-07
2015-07-31 00:00:00,48.0,chanet,2015-07
2015-08-01 00:00:00,12.0,chanet,2015-08
2015-08-02 00:00:00,36.0,chanet,2015-08
2015-08-03 00:00:00,73.0,chanet,2015-08
2015-08-04 00:00:00,71.0,chanet,2015-08
2015-08-05 00:00:00,48.0,chanet,2015-08
2015-08-06 00:00:00,54.0,chanet,2015-08
2015-08-07 00:00:00,19.0,chanet,2015-08
2015-08-08 00:00:00,24.0,chanet,2015-08
2015-08-09 00:00:00,59.0,chanet,2015-08
2015-08-10 00:00:00,54.0,chanet,2015-08
2015-08-11 00:00:00,63.0,chanet,2015-08
2015-08-12 00:00:00,60.0,chanet,2015-08
2015-08-13 00:00:00,22.0,chanet,2015-08
2015-08-14 00:00:00,86.0,chanet,2015-08
2015-08-15 00:00:00,74.0,chanet,2015-08
2015-08-16 00:00:00,64.0,chanet,2015-08
2015-08-17 00:00:00,67.0,chanet,2015-08
2015-08-18 00:00:00,93.0,chanet,2015-08
2015-08-19 00:00:00,111.0,chanet,2015-08
2015-08-20 00:00:00,46.0,chanet,2015-08
2015-08-21 00:00:00,59.0,chanet,2015-08
2015-08-22 00:00:00,29.0,chanet,2015-08
2015-08-23 00:00:00,8.0,chanet,2015-08
2015-08-24 00:00:00,17.0,chanet,2015-08
2015-08-25 00:00:00,94.0,chanet,2015-08
2015-08-26 00:00:00,40.0,chanet,2015-08
2015-08-27 00:00:00,43.0,chanet,2015-08
2015-08-28 00:00:00,36.0,chanet,2015-08
2015-08-29 00:00:00,10.0,chanet,2015-08
2015-08-30 00:00:00,58.0,chanet,2015-08
2015-08-31 00:00:00,10.0,chanet,2015-08
2015-09-01 00:00:00,8.0,chanet,2015-09
2015-09-02 00:00:00,20.0,chanet,2015-09
2015-09-03 00:00:00,30.0,chanet,2015-09
2015-09-04 00:00:00,24.0,chanet,2015-09
2015-09-05 00:00:00,28.0,chanet,2015-09
2015-09-06 00:00:00,31.0,chanet,2015-09
2015-09-07 00:00:00,51.0,chanet,2015-09
2015-09-08 00:00:00,55.0,chanet,2015-09
2015-09-09 00:00:00,23.0,chanet,2015-09
2015-09-10 00:00:00,21.0,chanet,2015-09
2015-09-11 00:00:00,9.0,chanet,2015-09
2015-09-12 00:00:00,26.0,chanet,2015-09
2015-09-13 00:00:00,2.0,chanet,2015-09
2015-09-14 00:00:00,51.0,chanet,2015-09
2015-09-15 00:00:00,7.0,chanet,2015-09
2015-09-16 00:00:00,22.0,chanet,2015-09
2015-09-17 00:00:00,4.0,chanet,2015-09
2015-09-18 00:00:00,60.0,chanet,2015-09
2015-09-19 00:00:00,91.0,chanet,2015-09
2015-09-20 00:00:00,55.0,chanet,2015-09
2015-09-21 00:00:00,15.0,chanet,2015-09
2015-09-22 00:00:00,18.0,chanet,2015-09
2015-09-23 00:00:00,10.0,chanet,2015-09
2015-09-24 00:00:00,52.0,chanet,2015-09
2015-09-25 00:00:00,9.0,chanet,2015-09
2015-09-26 00:00:00,4.0,chanet,2015-09
2015-09-27 00:00:00,45.0,chanet,2015-09
2015-09-28 00:00:00,0.0,chanet,2015-09
2015-09-29 00:00:00,13.0,chanet,2015-09
2015-09-30 00:00:00,10.0,chanet,2015-09
2015-10-01 00:00:00,15.0,chanet,2015-10
2015-10-02 00:00:00,0.0,chanet,2015-10
2015-10-03 00:00:00,3.0,chanet,2015-10
2015-10-04 00:00:00,10.0,chanet,2015-10
2015-10-05 00:00:00,0.0,chanet,2015-10
2015-10-06 00:00:00,4.0,chanet,2015-10
2015-10-07 00:00:00,15.0,chanet,2015-10
2015-10-08 00:00:00,8.0,chanet,2015-10
2015-10-09 00:00:00,12.0,chanet,2015-10
2015-10-10 00:00:00,8.0,chanet,2015-10
2015-10-11 00:00:00,40.0,chanet,2015-10
2015-10-12 00:00:00,2.0,chanet,2015-10
2015-10-13 00:00:00,43.0,chanet,2015-10
2015-10-14 00:00:00,18.0,chanet,2015-10
2015-10-15 00:00:00,2.0,chanet,2015-10
2015-10-16 00:00:00,16.0,chanet,2015-10
2015-10-17 00:00:00,9.0,chanet,2015-10
2015-10-18 00:00:00,0.0,chanet,2015-10
2015-10-19 00:00:00,8.0,chanet,2015-10
2015-10-20 00:00:00,17.0,chanet,2015-10
2015-10-21 00:00:00,33.0,chanet,2015-10
2015-10-22 00:00:00,5.0,chanet,2015-10
2015-10-23 00:00:00,33.0,chanet,2015-10
2015-10-24 00:00:00,59.0,chanet,2015-10
2015-10-25 00:00:00,30.0,chanet,2015-10
2015-10-26 00:00:00,25.0,chanet,2015-10
2015-10-27 00:00:00,5.0,chanet,2015-10
2015-10-28 00:00:00,2.0,chanet,2015-10
2015-10-29 00:00:00,21.0,chanet,2015-10
2015-10-30 00:00:00,19.0,chanet,2015-10
2015-10-31 00:00:00,34.0,chanet,2015-10
2015-11-01 00:00:00,11.0,chanet,2015-11
2015-11-02 00:00:00,0.0,chanet,2015-11
2015-11-03 00:00:00,0.0,chanet,2015-11
2015-11-04 00:00:00,1.0,chanet,2015-11
2015-11-05 00:00:00,1.0,chanet,2015-11
2015-11-06 00:00:00,5.0,chanet,2015-11
2015-11-07 00:00:00,13.0,chanet,2015-11
2015-11-08 00:00:00,44.0,chanet,2015-11
2015-11-09 00:00:00,34.0,chanet,2015-11
2015-11-10 00:00:00,2.0,chanet,2015-11
2015-11-11 00:00:00,27.0,chanet,2015-11
2015-11-12 00:00:00,0.0,chanet,2015-11
2015-11-13 00:00:00,14.0,chanet,2015-11
2015-11-14 00:00:00,10.0,chanet,2015-11
2015-11-15 00:00:00,22.0,chanet,2015-11
2015-11-16 00:00:00,1.0,chanet,2015-11
2015-11-17 00:00:00,0.0,chanet,2015-11
2015-11-18 00:00:00,13.0,chanet,2015-11
2015-11-19 00:00:00,0.0,chanet,2015-11
2015-11-20 00:00:00,0.0,chanet,2015-11
2015-11-21 00:00:00,20.0,chanet,2015-11
2015-11-22 00:00:00,16.0,chanet,2015-11
2015-11-23 00:00:00,0.0,chanet,2015-11
2015-11-24 00:00:00,2.0,chanet,2015-11
2015-11-25 00:00:00,0.0,chanet,2015-11
2015-11-26 00:00:00,0.0,chanet,2015-11
2015-11-27 00:00:00,10.0,chanet,2015-11
2015-11-28 00:00:00,0.0,chanet,2015-11
2015-11-29 00:00:00,3.0,chanet,2015-11
2015-11-30 00:00:00,0.0,chanet,2015-11
2015-12-01 00:00:00,0.0,chanet,2015-12
2015-12-02 00:00:00,2.0,chanet,2015-12
2015-12-03 00:00:00,2.0,chanet,2015-12
2015-12-04 00:00:00,2.0,chanet,2015-12
