ID_NOM;NOM;cd_nom;ESPECE;Sensibilit;2012;2013;2014;2015;2016;2017;2018;2019;1974;1977;1992;1994;2004;2005;2006;2007;2009;2010;2011;2020;2021;2022;2023;2024;2025;geometry
34;Remparts du Garn;2656;Aigle de Bonelli;15 janvier-30 juin;oui;oui;oui;oui;oui;oui;oui;oui;non;non;non;non;non;non;non;non;non;non;non;oui;oui;oui;oui;oui;oui;POLYGON ((820830.7869176302 6360413.797026529, 820833.9531641924 6360398.485203454, 820841.7153706864 6360383.234115711, 820847.9919410937 6360369.494202154, 820852.8876149873 6360334.387260119, 820856.7599269585 6360319.868628276, 820863.6778659635 6360299.3299875185, 820869.9955915288 6360278.696561023, 820881.6153422936 6360258.917060178, 820894.0538213237 6360241.428303385, 820906.6529286248 6360219.342736087, 820915.1623546391 6360197.991326965, 820926.0573101644 6360175.220976363, 820937.6977839768 6360146.150515987, 820964.4237539888 6360117.908269983, 821088.0778113763 6360013.503482601, 821111.0361123952 6359966.834842077, 821120.6887434219 6359891.0152518535, 821071.8982612496 6359773.240448182, 821045.3596625924 6359743.834817748, 821046.4726669563 6359718.729729698, 821027.6663220125 6359713.342873101, 821000.4273063322 6359720.35727095, 820942.0241420906 6359741.84892101, 820906.6182466701 6359747.450486089, 820871.2606391263 6359750.540531937, 820852.8553283574 6359757.096955445, 820827.5913442544 6359759.752841621, 820802.5322066942 6359751.734059985, 820747.7501750286 6359748.7986843595, 820717.1750319514 6359747.798937365, 820701.3760177912 6359734.71809261, 820689.7893936553 6359714.394802682, 820674.7392678297 6359710.337340044, 820661.6877276179 6359700.664743155, 820611.756416952 6359641.916684883, 820574.4239012684 6359649.367813034, 820565.1166382835 6359641.651549767, 820568.555764212 6359626.641329242, 820541.8098437431 6359607.912224435, 820517.7455331034 6359613.733261935, 820488.2386303014 6359607.514962951, 820347.6341458006 6359774.429931651, 820241.9724897183 6359792.635800751, 820221.1940150523 6359816.189666341, 820200.8610802832 6359845.134383009, 820186.3248295108 6359862.64100414, 820174.5915586262 6359880.823046543, 820160.5008476158 6359903.720519091, 820139.5804655217 6359934.068854956, 820121.8202460223 6359945.862006541, 820112.242502094 6359966.26730672, 820104.5252988695 6359999.097096967, 820112.4849425992 6360036.15160438, 820130.0152257866 6360067.107275236, 820128.4189135989 6360109.475139309, 820144.4037281851 6360138.830717306, 820149.347501392 6360168.760620631, 820151.718829067 6360209.633250092, 820160.7950333538 6360229.434932887, 820163.5407781957 6360250.686001094, 820190.116231987 6360303.011970317, 820171.4632734393 6360330.920413923, 820161.7366489329 6360386.478328635, 820180.6638550895 6360422.175758961, 820275.3927757266 6360421.501782711, 820324.0860611623 6360429.884113453, 820454.0177851071 6360420.504248044, 820490.1605667468 6360417.998436652, 820546.6387601646 6360392.415089492, 820573.9860376593 6360370.087658962, 820606.4195958467 6360321.202746111, 820644.7974904306 6360323.073524351, 820678.201428383 6360315.695902737, 820679.685065681 6360325.673351241, 820681.0140324652 6360340.946866464, 820686.4275732123 6360354.886862547, 820689.5478160309 6360369.345906074, 820692.4024283604 6360387.803250178, 820700.0323579094 6360403.922179618, 820709.6644173734 6360420.523552302, 820718.9987225141 6360450.860185125, 820739.8110085793 6360431.388897495, 820754.3767185737 6360425.707199022, 820787.313712047 6360423.8554887995, 820812.220349368 6360424.830371274, 820830.7869176302 6360413.797026529))
10;Cirque de Gaud;2938;Faucon pelerin;1er fevrier-30 juin;oui;oui;oui;oui;oui;oui;oui;non;non;non;non;non;non;non;non;non;non;non;non;non;;;;non;;POLYGON ((815967.5068567302 6363932.302870745, 815906.7076376145 6363901.972373537, 815848.1151504361 6363825.112393033, 815804.0716247625 6363814.898037144, 815723.8814753545 6363818.478238189, 815684.1079307308 6363868.595503324, 815687.272035897 6363922.77852167, 815750.7307407712 6363991.832041769, 815817.3801656674 6364077.761276658, 815869.1134612946 6364135.420677011, 815973.155852677 6364157.652387626, 816026.918553134 6364122.695304836, 816064.1118084234 6364104.951092473, 816190.8232710371 6364095.667625161, 816229.6564495511 6363991.494519543, 816262.0046670986 6363883.6253875345, 816207.8147981651 6363842.156480387, 816072.9326468183 6363936.89487797, 815967.5068567302 6363932.302870745))
16;Richemale;2938;Faucon pelerin;1er fevrier-30 juin;oui;oui;oui;oui;oui;oui;oui;oui;non;non;non;non;non;non;non;non;non;non;non;oui;oui;oui;oui;oui;oui;POLYGON ((817748.062450707 6361224.201373499, 817712.801480781 6361233.863296058, 817689.7298576667 6361252.742913827, 817677.6589584124 6361290.806191415, 817665.7126393327 6361322.2126939995, 817666.8785378516 6361349.202963478, 817660.412818195 6361373.386916945, 817638.7255772442 6361407.607432169, 817611.603630801 6361428.741661652, 817589.250702459 6361444.970953446, 817573.9000395429 6361478.919197681, 817584.8838635437 6361548.656424817, 817618.5195379625 6361591.926708683, 817664.1538519419 6361624.705065756, 817731.189980136 6361611.747911243, 817740.8733263051 6361522.7685146425, 817784.666552672 6361449.711012535, 817839.9759572219 6361430.263498528, 817874.8020438664 6361386.77533873, 817899.0683910364 6361334.240634599, 817748.062450707 6361224.201373499))
11;Vallon du Tiourre;2938;Faucon pelerin;1er fevrier-30 juin;non;non;non;oui;oui;oui;oui;oui;non;non;non;non;non;non;non;non;non;non;non;oui;oui;oui;oui;non;;POLYGON ((815619.4892810219 6367257.27588631, 815857.9077895988 6367154.229018753, 815840.9897143722 6367109.819071266, 815806.4486441179 6367036.507411919, 815745.8255412224 6366942.7530783275, 815673.5712616083 6366823.621631888, 815653.1285873763 6366746.785373532, 815629.8662339405 6366668.539275573, 815622.1121161288 6366590.998097419, 815176.7723320397 6366862.035723365, 815222.0243841283 6366861.650279381, 815232.6613221435 6366878.94252047, 815257.2141797442 6366899.712679848, 815257.5119857104 6366934.675634592, 815261.2746050362 6366965.912725709, 815286.0350785118 6367011.057061485, 815317.4316272332 6367014.286181658, 815342.0134185269 6367038.452743123, 815387.6027671562 6367065.936914941, 815391.3373106974 6367093.8775010705, 815402.3894847113 6367159.918099755, 815430.5271385179 6367191.047473469, 815462.0130351178 6367204.765479218, 815490.0017851379 6367218.413371405, 815531.679609666 6367197.178964069, 815573.8514654897 6367245.67154254, 815619.4892810219 6367257.27588631))
17;Cirque Madeleine;2856;Vautour percnoptere;1er mars - 30 septembre;non;non;non;non;oui;oui;oui;oui;non;non;non;non;non;non;non;non;non;non;non;non;;;;non;;POLYGON ((820257.9342225702 6360958.186622078, 820285.5238951417 6361084.6313978555, 820341.1754098249 6361141.39271034, 820366.0727914104 6361155.305179069, 820344.4261473243 6361112.153287033, 820302.626653325 6361060.461071194, 820257.9342225702 6360958.186622078))
12;Rocher de la vielle;2938;Faucon pelerin;1er fevrier-30 juin;oui;oui;oui;oui;oui;oui;oui;oui;non;non;non;non;non;non;non;non;non;non;non;oui;oui;oui;oui;oui;oui;POLYGON ((815545.2989051202 6372807.138930274, 815591.3503117124 6372806.746661711, 815663.6884612672 6372807.828809207, 815699.2739104938 6372810.223036912, 815745.6321450223 6372798.93884929, 815811.2453576664 6372784.59348862, 815832.2902658939 6372768.829536725, 815840.6618181535 6372707.818108244, 815839.8228033549 6372609.322054719, 815842.2701201565 6372568.241559457, 815858.0478197259 6372497.076969154, 815898.0084871659 6372368.063042454, 815914.2754678945 6372354.337830048, 815911.2682399785 6372329.687701276, 815887.8893306568 6372306.010319329, 815872.5724341497 6372267.079189705, 815866.5889496934 6372209.686626488, 815866.4025962735 6372187.809721412, 815830.5777167236 6372169.0336449165, 815775.9583760841 6372172.196253, 815713.1175631926 6372183.620837561, 815661.1723996709 6372184.063313639, 815617.4185888062 6372184.436013098, 815565.21730226 6372154.81022832, 815532.2830742538 6372146.998718356, 815526.5778502725 6372122.271672235, 815518.2176802184 6372114.250839595, 815496.696791753 6372144.504592605, 815494.0622667184 6372163.608275197, 815494.0622667184 6372163.608275197, 815436.794525297 6372144.639080087, 815409.2740945427 6372132.109386095, 815296.6176656606 6372156.494343346, 815298.2359128332 6372199.810719832, 815317.3568139969 6372271.608752318, 815316.7829721773 6372333.253050913, 815426.6150872218 6372443.508221596, 815510.9705272999 6372530.103868665, 815533.3993370229 6372606.437613383, 815532.9824103608 6372674.774013011, 815524.3084345201 6372712.0113784885, 815513.2492396147 6372738.979173519, 815485.6999518414 6372788.665246374, 815545.2989051202 6372807.138930274))
19;Font Garou;2856;Vautour percnoptere;1er mars - 30 septembre;non;non;non;non;non;non;oui;oui;non;non;non;non;non;non;non;non;non;non;non;non;;;;non;;POLYGON ((814324.6998948802 6374555.029384685, 814277.821955215 6374669.516701653, 814251.8477301268 6374751.657549299, 814240.7675271167 6374823.081936982, 814234.2899409165 6374930.53174686, 814238.1485063347 6375008.222636843, 814242.7600433608 6375174.320396068, 814242.6214215963 6375298.799489683, 814264.4248138923 6375360.353238186, 814301.0851520716 6375395.106608399, 814324.9408969728 6375463.0366101805, 814338.2272113403 6375509.877404776, 814358.5408920789 6375537.277351701, 814417.7330257732 6375601.809427969, 814463.9374863948 6375654.563780684, 814521.8670798104 6375711.613957426, 814567.8362121205 6375725.008905884, 814648.3613191266 6375678.567903124, 814685.2039690438 6375640.890732609, 814714.7015438824 6375597.082196901, 814741.7917765926 6375540.406803404, 814736.1808356069 6375503.291036524, 814686.9413977484 6375469.543935524, 814661.2691285423 6375446.385521647, 814594.5406379071 6375376.722748005, 814552.8753438025 6375340.813190887, 814521.0469164192 6375239.983439221, 814491.89724675 6375183.886979492, 814470.1848861411 6375133.021982295, 814429.2370814173 6375087.515724102, 814416.1607677471 6375041.871980375, 814413.4636475134 6374983.252478251, 814416.0715071631 6374914.098085597, 814434.7079672783 6374838.41344979, 814495.4632624891 6374734.5973295625, 814539.880874467 6374694.857631674, 814612.7232288457 6374626.104061425, 814631.8306948063 6374617.449648244, 814648.5958331241 6374591.831850549, 814625.6204221147 6374521.696556742, 814594.354760943 6374475.208739709, 814565.231134429 6374433.897580881, 814535.2625637334 6374410.675873211, 814481.9832951641 6374395.245257688, 814426.8131447717 6374427.583879995, 814396.3986655594 6374469.302239849, 814372.1329118398 6374493.984896766, 814347.8671572375 6374518.6675537145, 814324.6998948802 6374555.029384685))
29;Fontbelle;2856;Vautour percnoptere et vautour fauve;reposoir;oui;oui;oui;oui;oui;oui;oui;oui;oui;non;non;non;non;non;non;non;non;non;non;oui;;;;non;;POLYGON ((817327.3282952344 6373332.527296933, 817302.8409710975 6373190.475650889, 817227.8324736295 6373145.659324268, 817169.0501082424 6373082.322819002, 817094.2355776796 6373001.640071222, 817086.2917913143 6372972.1367983585, 817059.9345349652 6372927.205705569, 817002.0058085411 6372870.25564863, 816921.2895938479 6372706.604758498, 816833.354640099 6372573.388340172, 816754.6782597227 6372533.041478441, 816733.8323811615 6372500.7639890555, 816693.48551943 6372136.297338081, 816632.9652268327 6372032.74039297, 816505.2001646828 6371985.669054283, 816373.4004163598 6372052.913823836, 816612.2230873442 6372721.825308094, 816747.0400370788 6372985.6164983325, 816873.9137771964 6373079.242620536, 816962.9655724893 6373154.209592404, 817115.4270345465 6373272.792990131, 817327.3282952344 6373332.527296933))
20;Pont d'arc;2856;Vautour percnoptere;1er mars - 30 septembre;non;non;non;oui;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;;;;non;;POLYGON ((812868.1217489648 6365071.876070808, 812578.1511260438 6365099.466126033, 812298.2934474783 6365232.272185376, 812166.5997955773 6365475.398927447, 812159.846274965 6365653.523033614, 812161.2604315646 6365704.871717348, 812192.7696879386 6365765.378218768, 812270.4351749554 6365800.834201988, 812393.686926092 6365741.74089662, 812516.938677228 6365745.1176569285, 812624.9950069909 6365770.443359227, 812623.3066268372 6365885.253209649, 812655.3858497343 6366032.142282981, 812624.9950069869 6366184.096496775, 812719.5442955294 6366207.73381892, 812818.3145344531 6366206.467533808, 813033.5830039039 6366131.334616985, 813129.8206725996 6366067.17617116, 813131.5090527537 6365939.703469586, 813085.922788636 6365836.712280237, 813015.0108222297 6365741.318801582, 812985.4641695607 6365695.732537441, 812982.9315993327 6365608.780959549, 812987.1525497149 6365531.115472498, 813022.60853292 6365387.603159468, 813096.0530695567 6365293.053870886, 813088.4553588711 6365220.453524294, 813019.2317726172 6365155.450888395, 812868.1217489648 6365071.876070808))
14;Falaise des Templiers;2938;Faucon pelerin;1er fevrier-30 juin;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;;;;non;;POLYGON ((819916.8929296186 6361117.195025903, 819926.0984739093 6361118.914801953, 819941.5930667903 6361120.081483285, 819963.9684097162 6361119.790918936, 819984.8376858747 6361118.614078885, 820009.4243100721 6361119.9030867, 820024.119753229 6361121.076576787, 820044.910415991 6361122.397930066, 820061.8949026851 6361122.552904586, 820074.153740543 6361119.151712136, 820078.3248929034 6361104.530626571, 820076.2104016859 6361090.862211323, 820076.4113416459 6361079.271986299, 820079.0946039641 6361054.173977933, 820083.4017021921 6361032.05916199, 820094.7714614377 6361006.38762995, 820107.2979340226 6360987.499507262, 820120.810575081 6360967.104466877, 820131.9453447647 6360949.027411274, 820145.2965026502 6360933.129290504, 820156.2039445485 6360923.545753877, 820176.5493638956 6360907.787834913, 820195.3237226838 6360895.240133987, 820211.6194654658 6360884.911375075, 820241.2447833891 6360867.87556707, 820273.8694653597 6360851.113902817, 820297.8783029369 6360843.2169409115, 820320.5680924663 6360832.933595894, 820341.4921420028 6360826.461533393, 820365.4147048405 6360820.163720872, 820419.7064004145 6360790.330196827, 820537.145975702 6360738.280048608, 820580.1428668833 6360707.743561788, 820585.1696418655 6360688.020239802, 820568.5135273284 6360667.782384244, 820544.7535978417 6360657.994762199, 820521.8209094174 6360651.496821446, 820501.1976934938 6360646.377813241, 820485.7706519708 6360641.41432731, 820460.3003153468 6360641.931075953, 820420.9859140943 6360635.672631252, 820335.8662775557 6360635.19916222, 820326.8760984899 6360658.752492073, 820291.8261347438 6360695.714812352, 820213.6561419894 6360737.040611039, 820153.4443278129 6360763.82764331, 820126.0288903731 6360770.554819336, 820088.0241706542 6360765.583916628, 820056.6022206296 6360759.358108351, 820030.396572911 6360767.373685893, 819910.5282772279 6360839.224875822, 819864.8890165173 6360864.489109726, 819846.6200819506 6360877.731805778, 819844.1757582349 6360907.423218577, 819846.9491930732 6360928.079084706, 819847.406346234 6360946.556867146, 819851.6849965078 6360967.999115541, 819855.133002776 6360985.7521065185, 819858.7203612889 6360996.4109417, 819866.2657124952 6361014.328821198, 819869.7931839507 6361029.683512372, 819875.8256592724 6361045.915967101, 819880.052386961 6361061.264700184, 819888.2226372502 6361082.174284751, 819916.8929296186 6361117.195025903))
