WKT;ID_NOM;NOM;cd_nom;ESPECE;Sensibilit;2012;2013;2014;2015;2016;2017;2018;2019;1974;1977;1992;1994;2004;2005;2006;2007;2009;2010;2011;2020;2021;2022;2023;2024;2025
"MULTIPOLYGON (((4.46825133487454 44.3478621654413,4.467597581558 44.3472087091325,4.46403102216387 44.3437819318962,4.46308442986717 44.3432169010776,4.46230117261096 44.3428244985304,4.46073252614536 44.3423665182617,4.45995340803326 44.342133650686,4.45852438522764 44.3417497895299,4.45827803679113 44.341848058753,4.4582253953828 44.341860156934,4.45812697014635 44.34194506463,4.45795492452549 44.3420499486008,4.45775808801452 44.3420145554744,4.45766448271875 44.3418751904275,4.45760322500451 44.3417581976082,4.45749696486011 44.3417444048163,4.45744686397145 44.3418552726799,4.45738617592108 44.3419662807712,4.45728019109449 44.3421690922752,4.45712775416283 44.3422129129054,4.45700992940604 44.3421612713661,4.45699501389112 44.3417871548398,4.45694151181784 44.3415598548466,4.45685546822925 44.3413025846524,4.45663453153438 44.341153504478,4.45648828942004 44.3410262358776,4.45627676991347 44.3408314286763,4.45607691241586 44.3406782682912,4.45604725816506 44.3408195610458,4.45608261985254 44.3408817317214,4.45629126407035 44.3410838215071,4.45636004944451 44.3411948289328,4.45640875554518 44.341382481992,4.45640875131771 44.3413825082682,4.45635626969544 44.3415524805772,4.45635625659335 44.3415525104261,4.45635618109382 44.3415526089113,4.45623740347517 44.3416999474202,4.45615467006007 44.3418025823174,4.45615455375206 44.3418027217682,4.45609754133865 44.341966662482,4.45601072361462 44.3421404597368,4.45595016613723 44.3422106901029,4.45585300464154 44.3422620386424,4.45570641969166 44.3422978490029,4.45553801634278 44.3423258317109,4.45540196523107 44.3423356874293,4.45527371423421 44.342323743259,4.45498689524443 44.3422581681462,4.45482307972626 44.3422551514226,4.45438119335025 44.3423049293161,4.45359364019996 44.3424809343426,4.4532721782485 44.3426015388359,4.45327212789215 44.3426015544663,4.45247806921051 44.3428301948609,4.45247798667107 44.3428302174961,4.45247791319932 44.3428302332022,4.45092418419638 44.3431454343864,4.45048974066449 44.3432335635335,4.45010037954907 44.3433058777293,4.44999516637132 44.343295552318,4.44994924678453 44.343258309116,4.44992726780292 44.3432082347099,4.44998092282811 44.3429155285352,4.44979266974883 44.3424904272776,4.44974237166684 44.3424512126862,4.4496922084586 44.3424532196769,4.44966736593221 44.3424804868609,4.44963299098498 44.3425855210976,4.44959778130629 44.3426931054855,4.44952644125721 44.3428202066707,4.44934604452846 44.3431040152796,4.44924120740044 44.3432183789307,4.44913734962282 44.3432832494583,4.44902696168217 44.3433265897283,4.448823914733 44.3433500964646,4.44850901866277 44.3433778076251,4.44837476830394 44.3433979166588,4.44816519641701 44.3435153254913,4.44816519253246 44.3435153254785,4.44810858327633 44.3435327078183,4.44808495596714 44.3435972613827,4.44806353645169 44.3436388872277,4.44805299963892 44.3437029904671,4.44807933080021 44.343792142054,4.44810675087987 44.3439493019257,4.44812286476391 44.3441880931272,4.44815065538544 44.3442401204329,4.44824748399364 44.3443330650743,4.44833157217723 44.3443922463929,4.44845536782772 44.3444382887739,4.44853061731208 44.3444925036971,4.44855211906111 44.3445316014242,4.44855213558997 44.3445316314795,4.44867182173872 44.3448159977204,4.44867201733868 44.3448164716666,4.44871775186557 44.3448877292009,4.44876534426456 44.3449311183665,4.44884261179214 44.3449615809622,4.44902639585346 44.3449992590606,4.44911589826336 44.3450229740379,4.44916420851093 44.3450357745087,4.44923032830873 44.3450757252355,4.44941990453633 44.3452678740828,4.44968523545464 44.3454111715745,4.44977399808965 44.3454805559522,4.45002028246049 44.3457674616649,4.45002027857635 44.3457674616518,4.45005516069165 44.3458554354743,4.45002686933138 44.3459435789266,4.44947228722519 44.3463974336196,4.44932587634301 44.3465146554145,4.44914986652235 44.3465706124828,4.44897706766282 44.3465966138589,4.4488845673154 44.3466190062874,4.44888456343087 44.3466190062742,4.44887344264795 44.3466181779933,4.44880129562723 44.3466576984838,4.44880126985619 44.3466577104589,4.44873597359725 44.3467166888878,4.44869631806529 44.3467700059829,4.44866725435906 44.3468375676201,4.44865706343741 44.3469490573665,4.44863718502124 44.3470700363283,4.44865091033942 44.3472068251914,4.44868398692443 44.3473226470946,4.44867400727133 44.3473630376667,4.44863347533085 44.3473926808745,4.44858766028258 44.3473966590903,4.44848156257421 44.3473636628192,4.44833694963386 44.3472984277129,4.44803352306605 44.3471733871755,4.44750349289914 44.3470176774856,4.44737298448419 44.3469841185838,4.44737297637502 44.3469841174844,4.44724540643612 44.3469906973697,4.44718085187053 44.3470311225878,4.44711589816079 44.3470993567454,4.44708754805838 44.3472627350013,4.447103314776 44.3473768363276,4.44714416511475 44.3475089895523,4.44718915696609 44.347563227784,4.44719143619075 44.3475659803214,4.44719257101938 44.3475673434624,4.4472148518135 44.3475942031852,4.44728632765435 44.3476328100378,4.44768832127226 44.3478499404312,4.44780785040332 44.3478971045831,4.44934700655008 44.3481910393875,4.44961179201856 44.3482436407334,4.44970780015565 44.348237654934,4.44982767439278 44.3482167896015,4.44987226107936 44.3482001502888,4.44993247032726 44.348177680746,4.45005382704137 44.3480815406529,4.45011684011768 44.3479999507195,4.45027563635177 44.347562300176,4.45034203751469 44.3473792931288,4.45043127346219 44.3472693728062,4.45051016040959 44.3472276517866,4.45061797965245 44.3471925805608,4.4507252700424 44.3471812418022,4.45096106097448 44.3471880366949,4.45119616286233 44.3472144072654,4.45150737187902 44.3473176399363,4.45167574751514 44.3474030285313,4.45185230108511 44.3475150479932,4.45188455822277 44.3475425707549,4.45188455905136 44.3475425714619,4.4518915507125 44.3475485369531,4.45189155626869 44.3475485416939,4.45197396110775 44.3476188518028,4.45214677708529 44.3477845187389,4.45226775252328 44.3479470727825,4.45232364148215 44.3480964634165,4.45236074056383 44.3482431287675,4.45296618817547 44.3482262759454,4.45313403969493 44.3483363994304,4.45333731317571 44.3485478680935,4.45337326275069 44.3486255009968,4.4531363593884 44.3487042868104,4.45314184206741 44.3491184788342,4.45314840075793 44.3491399883705,4.45300293759609 44.3491675434999,4.45282352807488 44.3492472769832,4.45272695967099 44.3492769584822,4.45263949430694 44.3492807047794,4.45258069794679 44.3492828872585,4.4525192202583 44.3492902480003,4.45245827504133 44.3493120459895,4.45243835009006 44.3494319818317,4.45209091244135 44.3495118628355,4.45209090855759 44.3495118628221,4.4523032212749 44.3498880481538,4.4526620250394 44.3503788984942,4.45266210755186 44.3503789561028,4.45319661344353 44.3507704740153,4.45319666445486 44.350770514211,4.45331598033006 44.35096505171,4.45243330167743 44.3512119138611,4.45231444015322 44.3513358275687,4.45221724302493 44.3515015828361,4.45413925487843 44.3538980165076,4.45437426548003 44.3539747140703,4.45470426035094 44.3542439638005,4.45487788388316 44.3544050754168,4.45492502188863 44.3545906601845,4.45504001532008 44.3547373461066,4.45521600837067 44.3547844210031,4.45551858617215 44.3548108205399,4.45588979992761 44.3548287108628,4.45618079093188 44.3550224691522,4.45645560674441 44.3552050403047,4.45665278962298 44.35546455427,4.45679030801593 44.3556566298789,4.45682215517087 44.355865217468,4.45690941197473 44.3559628666329,4.45710795760438 44.3560628423697,4.45737013938493 44.3561657751832,4.4577294704484 44.3565448328708,4.45794027142678 44.3567092477238,4.45813706132087 44.356740841895,4.45850299368544 44.3567587935784,4.45949604605729 44.3569549439503,4.46049101224655 44.3575725507127,4.46125938778013 44.357799634845,4.46278375192711 44.3578915031398,4.46388486766938 44.3579312985505,4.4651936380453 44.3581263325526,4.46603405386217 44.3582461796232,4.46728465409392 44.3571552440693,4.46785391393181 44.3565404076471,4.46860892293178 44.3559365563054,4.4691759051037 44.3555375697086,4.4682060156121 44.3549006842184,4.46764288957254 44.3546307833826,4.46714066625618 44.3544626724881,4.46691043912579 44.3543669372781,4.46677835151816 44.3541748891646,4.46658282802131 44.3539874865701,4.46639877999733 44.3538341322898,4.46611834928022 44.3536402600424,4.46581792185877 44.3534922555536,4.46529345504016 44.3532826309537,4.46519883004845 44.3531052829616,4.46519197599266 44.3530854562591,4.46515303513968 44.3529728867851,4.46521243117902 44.3526072796494,4.46527869301658 44.352302383804,4.46525711080084 44.3520822614308,4.46518856693132 44.3518893655831,4.46459947845379 44.3506525452528,4.46465386589503 44.350463821528,4.46478278482541 44.3503290996446,4.46501347259057 44.3502386246477,4.46563455728039 44.3500897474558,4.46610328611754 44.3499884988496,4.46632141547997 44.349822185107,4.46634434679291 44.3496850735749,4.4663200236651 44.3495637924443,4.46592450504312 44.3492194474738,4.46577655038003 44.3490276102208,4.46575457434086 44.3487922928703,4.46582358087028 44.3485937651282,4.46595700046654 44.3484285806371,4.4661771887957 44.3483420432031,4.46636130127432 44.3482939877368,4.46654552653574 44.3483046491826,4.46701561871051 44.3484068708986,4.4675839739635 44.3484823555186,4.4679233744916 44.348336811585,4.46799813891795 44.3482510670501,4.46813038177262 44.3480993895428,4.4681954830462 44.3479717149503,4.46825133487454 44.3478621654413)))";46;Rocher des Abeilleres;2856;Vautour percnoptere;1er mars - 30 septembre;non;non;non;non;non;non;non;non;oui;non;non;non;non;non;non;non;non;non;non;non;;;;non;
"MULTIPOLYGON (((4.46761229537288 44.4374595964231,4.46778231692377 44.4379708677367,4.46789764463285 44.4384966956083,4.46810225128463 44.438926330427,4.46849527023579 44.4393244161676,4.46883387379949 44.4397775346432,4.46950897863897 44.4401305517974,4.47030378889321 44.440196061626,4.47101997101564 44.4401416484865,4.47159339786934 44.4396339079229,4.47317875226138 44.4388914557238,4.47478235557256 44.4382008016522,4.47623263855406 44.4366153058898,4.47800479118932 44.4355389830045,4.47938984656626 44.4346851987474,4.47980646420711 44.4342173609114,4.48025195359164 44.4335186579179,4.48089947796298 44.4329824313435,4.48103817268467 44.431777845766,4.481290861386 44.431061317167,4.48138633963706 44.4303046810507,4.4808946275443 44.4296233972935,4.48022749208484 44.4292145219899,4.47905885882642 44.4286580085339,4.4780772539656 44.4281662018824,4.47521726538541 44.4288229353912,4.47236678282964 44.4293678574621,4.47184671531108 44.4299555270504,4.47096596672253 44.4312626980579,4.4670310811087 44.4347414862585,4.46531852285996 44.4357714912895,4.46543946393804 44.4364465458792,4.46568592780249 44.4365227272788,4.46654761119524 44.436830757987,4.46761229537288 44.4374595964231)))";22;Echarassou;2856;Vautour percnoptere;1er mars - 30 septembre;non;non;non;non;oui;non;non;non;non;non;non;non;non;non;oui;non;non;non;non;non;;;;non;
"MULTIPOLYGON (((4.43215295144068 44.3849593830656,4.43227649917207 44.3850433795559,4.43263155050762 44.3853145573637,4.43286833691404 44.3855088338899,4.43315683786407 44.3856769328664,4.43341370073992 44.3858375402358,4.43365326670586 44.3860389586002,4.4339393165226 44.3862421857792,4.43426419550622 44.386443769629,4.43455195371429 44.3866253729566,4.43483797628427 44.386827698925,4.43505819422714 44.3869809080585,4.43536303927563 44.3871495883058,4.43568744497073 44.3873718674265,4.4359842889734 44.3875613894115,4.43632728793934 44.3878111973824,4.43648071908444 44.3879225037785,4.43677878876204 44.3881111007233,4.43693019756768 44.3882017551391,4.43713108643941 44.3883409376454,4.437333444897 44.3884522049188,4.43744715481178 44.3884401303679,4.43758433639573 44.3882836743079,4.43771895672437 44.3880921838658,4.43785685411099 44.3879213205933,4.43798264404183 44.3876949158061,4.43801245574881 44.3876196798338,4.43808006966483 44.387481648682,4.43812896653855 44.3873799592067,4.43821817235852 44.3872154264331,4.43831364554831 44.3870507734213,4.43846031360401 44.3868797412331,4.43866370632725 44.3866824330358,4.43888492320548 44.3865594470322,4.43903235943793 44.3864090894767,4.43915052444967 44.3860793789243,4.43922009646943 44.3858594485494,4.43937454823865 44.3856954623928,4.43951948648379 44.3855118679719,4.43962748838323 44.3853469734686,4.43971591518818 44.3851617643235,4.43978326616635 44.384983256518,4.43988427315645 44.3847654213084,4.43966263369969 44.3847759711335,4.43943971170383 44.3846848936172,4.43915399303163 44.3845581378833,4.43888430318827 44.3844238774418,4.43868521383495 44.3842990572423,4.43837884576519 44.3840557514842,4.43821832939921 44.3838888106216,4.43810375796251 44.3837092942496,4.43795122722803 44.3834873261983,4.43789594659524 44.3833840359344,4.43781806975547 44.3832802792699,4.43777197369792 44.3830868559405,4.43771562156476 44.3829547999428,4.43762116258409 44.3828099808698,4.43751683795361 44.3826023810016,4.43746104256414 44.3825188909866,4.43724031355119 44.3823180199021,4.43715493799965 44.3822485902123,4.43707959042091 44.382178968284,4.43696688245176 44.3820156075504,4.43668545523127 44.382037192507,4.43644420030136 44.3822280255652,4.43643161663895 44.3824963381188,4.43629580421794 44.3827229325922,4.43605381251979 44.3829614560442,4.43582934905182 44.383165459626,4.43547293201147 44.3833629939414,4.43527014564253 44.3836439441798,4.43515196935923 44.3837379629062,4.43497893950552 44.3838411277855,4.43471025865308 44.38396951218,4.43440019492094 44.3841319719951,4.43413898141375 44.3842251288512,4.43391726163483 44.384334621187,4.43365711656815 44.3844565426308,4.43350283398257 44.3845242632604,4.43331893454127 44.3846051441819,4.43316408274186 44.3846575825432,4.4328953770113 44.3847517792539,4.43277020799788 44.3847928545281,4.43266330693129 44.3848191872184,4.43251831506512 44.384866938254,4.43215295144068 44.3849593830656)))";3;Vallon du Tiourre;2657;Aigle de Bonelli;15 janvier-30 juin;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;;;;non;
"MULTIPOLYGON (((4.50290094338739 44.4293520287046,4.50266760791538 44.429356636662,4.50257093753018 44.4294871900886,4.502385457569 44.4313566484592,4.50315346776253 44.4316086673458,4.50355316982618 44.4317510075996,4.50389460892983 44.4320105477395,4.50465432858255 44.4323077010105,4.50495470490641 44.4330331502433,4.50523117937563 44.4332354958468,4.50539608755243 44.4337684060127,4.50561931381811 44.4341202400373,4.50572738418851 44.4342530454458,4.50608103475397 44.4342748396947,4.506260537059 44.4345996492483,4.5063548047388 44.434895557549,4.50660321821981 44.4348906439229,4.50723488868199 44.4345353932631,4.50770580100389 44.4349282026688,4.50789217708947 44.4354309979021,4.51144416164275 44.4362422622146,4.5120657344106 44.4362110458733,4.51256567592251 44.4361840378712,4.51325707087075 44.4360101897016,4.51389065467474 44.4357376268605,4.51411524330214 44.435636010336,4.51438179949307 44.4354507953067,4.51429689346337 44.4352032865147,4.51409035701027 44.4349923775599,4.51323862931503 44.4348833340512,4.51282223963999 44.434602817858,4.51158983836731 44.4341297710244,4.51201325136558 44.4337147483263,4.5129018849725 44.4333822562963,4.51348483743913 44.433132290911,4.51354972963578 44.4327972451983,4.51306771970745 44.4323453063562,4.51238709149963 44.432081726753,4.5113577019966 44.4320850470394,4.51089563580932 44.4321490833228,4.51099274778157 44.4319978221674,4.51136779749984 44.4316962128302,4.51116718642917 44.4311829109339,4.50990795660437 44.4305979278165,4.50970221590851 44.430602003918,4.50892804664073 44.4305813535919,4.50845871709762 44.4304242184693,4.50665990091571 44.429942541753,4.50497144188065 44.4295872993909,4.50290094338739 44.4293520287046)))";23;Dent de Rez;2856;Vautour percnoptere;1er mars - 30 septembre;non;non;non;non;non;non;non;non;non;non;non;oui;non;non;non;non;non;non;non;non;;;;non;
"MULTIPOLYGON (((4.450546834827 44.3942631290387,4.45308518748709 44.3918968363477,4.45299070306966 44.3917862132395,4.45284766803832 44.391652238737,4.45272107129146 44.3914882606682,4.45260306737979 44.3914194718874,4.45250798724344 44.3912260987517,4.45246955871765 44.3910379291427,4.45247425595937 44.3908957051832,4.45241207079396 44.3907430776724,4.45235040231958 44.3905373650958,4.45226595080149 44.3904265478705,4.4521141454334 44.3902927418788,4.45200269348455 44.3901644540118,4.4519718335604 44.3899104691913,4.45194359480327 44.3897931695307,4.45178086829266 44.3895354323054,4.45169671752296 44.3894659894829,4.4514444351062 44.3892621552734,4.45130769536875 44.3890282046875,4.45123354190748 44.3887570635723,4.45113253436262 44.3886060841304,4.45094934500561 44.3885718355897,4.45068423923981 44.3884941878493,4.45023289098905 44.3882339186361,4.45007228747122 44.3880993802561,4.44993108878829 44.3880139442038,4.44952325945487 44.3878769746333,4.44925735718624 44.3877444648343,4.44915287948695 44.3875341787118,4.44898139720997 44.3872766067656,4.44871246240025 44.3873978343164,4.44855859404569 44.3874763633566,4.44832877668802 44.3875032804611,4.4480560081144 44.3874887444332,4.4479958254074 44.3873891513343,4.44800100506296 44.3872595128113,4.44781750081433 44.3871497009869,4.44767294111243 44.3869743694758,4.44759239744004 44.3867330356101,4.44728338707966 44.3865545736469,4.44684719674676 44.386229230171,4.44625935805459 44.3858069513297,4.4458389798043 44.3854345220612,4.44516281953728 44.3850652130352,4.44506346372134 44.3850248443993,4.4447664874675 44.384999971244,4.44447195569129 44.38507400325,4.44407833676252 44.3851148563458,4.4437482106222 44.3851427929976,4.44349230883206 44.3850757464343,4.44317431067691 44.38489114923,4.44249094461136 44.3845633430741,4.44192545021942 44.384334920426,4.44150247903424 44.3842278988608,4.44119713671435 44.3842139716702,4.44071950468241 44.3841547743634,4.44044530226684 44.3840340979462,4.43988427315645 44.3847654213084,4.43978326616635 44.384983256518,4.43971591518818 44.3851617643235,4.43962748838323 44.3853469734686,4.43951948648379 44.3855118679719,4.43937454823865 44.3856954623928,4.43922009646943 44.3858594485494,4.43915052444967 44.3860793789243,4.43903235943793 44.3864090894767,4.43888492320548 44.3865594470322,4.43866370632725 44.3866824330358,4.43846031360401 44.3868797412331,4.43831364554831 44.3870507734213,4.43821817235852 44.3872154264331,4.43777870153081 44.3879785921656,4.43788809245166 44.3881002407383,4.43821844613474 44.3884676252833,4.43966835189126 44.3890983044643,4.44036872477808 44.3894437948378,4.44152789345766 44.3897121043282,4.44222463588947 44.3899263152056,4.44303774983003 44.3901994567058,4.44346954428502 44.3903063040269,4.44399417124559 44.3905472008648,4.44450667481549 44.3906650866258,4.44495459558399 44.3908004045605,4.44528064427326 44.390930868546,4.44601477998579 44.3913053608194,4.4465826921463 44.3912944310855,4.44672018343892 44.3914483108233,4.44703314818008 44.3916311970813,4.44704492948501 44.3919458220543,4.44709934458208 44.3922263419444,4.44742052970202 44.3926285658075,4.44781536949807 44.3926524475514,4.44812948956242 44.3928658943764,4.44870806972947 44.3931057305909,4.44876138247811 44.3933565851827,4.4489153263626 44.3939491396439,4.44927569728554 44.3942246628505,4.44967408800944 44.3943429254674,4.45002856586679 44.3944611336791,4.450546834827 44.3942631290387)))";24;Vallon du Tiourre;2856;Vautour percnoptere;1er mars - 30 septembre;non;non;non;non;non;oui;non;non;non;non;non;non;non;non;non;non;non;non;non;non;;;;non;
"MULTIPOLYGON (((4.4520128561929 44.4447523039609,4.45259134511909 44.4447411492404,4.45350043541393 44.4447389067887,4.45394807675182 44.4447545586386,4.45452789922312 44.4446453111114,4.45534892469642 44.4445053145017,4.45560967551198 44.4443599407092,4.45570072020617 44.443809423751,4.45566736410756 44.4429230585351,4.45568859498248 44.4425529114006,4.45587032851293 44.4419097831894,4.45634246282276 44.4407419735779,4.4565436418887 44.4406157404786,4.45650014978051 44.440394378957,4.45620095907561 44.4401851545631,4.45599951742042 44.439837301604,4.45591105345493 44.4393217392477,4.45590364451166 44.4391248695269,4.45544924561361 44.438961822373,4.45476382304079 44.4389993471357,4.45397702866013 44.4391125914011,4.45332456870543 44.4391251817166,4.45277499644034 44.4391357836254,4.45211237112901 44.4388777829731,4.45169683139302 44.4388129272834,4.45161944853316 44.4385913182069,4.45151257220531 44.4385205109243,4.45124920415669 44.4387963673479,4.45122051921125 44.4389687439212,4.45122051921125 44.4389687439212,4.45063313009697 44.4388291296803,4.45014809988241 44.4386992629949,4.44873848082138 44.4389373516976,4.44876879520981 44.4393269493003,4.44902555682537 44.4399700025052,4.4490325607169 44.4405249210852,4.45043781017131 44.4414991113685,4.45151757296809 44.4422645547749,4.45181698547377 44.4429478782368,4.4518275345458 44.4435630030853,4.45172716099511 44.4438995903615,4.4515944470062 44.4441441418763,4.45125980174881 44.4445958955666,4.4520128561929 44.4447523039609)))";25;Rocher de la vielle;2856;Vautour percnoptere;1er mars - 30 septembre;non;non;non;non;non;oui;non;non;non;non;non;non;non;non;non;non;non;non;non;non;oui;oui;oui;oui;oui
"MULTIPOLYGON (((4.47948144678136 44.4402933681524,4.47957925699409 44.4395969589966,4.47968626444454 44.4383174236006,4.47921050085779 44.4372975641339,4.47875342426985 44.4367685244686,4.47791750962998 44.4370079464558,4.4771074784311 44.4370696342487,4.47632325411099 44.4370174621657,4.47606975792736 44.4369549355747,4.47553829051008 44.4377722466,4.47489436651129 44.438075372317,4.47468966684254 44.4384383052353,4.47404325535249 44.4387423739108,4.47421790663292 44.4392085662229,4.47470164471765 44.4395805736301,4.47522820290827 44.4402863987434,4.47582266905928 44.4411267387474,4.47586763013818 44.4414839065327,4.47616488916609 44.4419045248948,4.47669264654267 44.4417817805495,4.47736202618054 44.4413216155445,4.47796429548279 44.4406819346977,4.47848272376842 44.4403803412923,4.47948144678136 44.4402933681524)))";12;Le Drayet;2856;Vautour percnoptere;1er mars - 30 septembre;non;non;non;non;non;non;non;non;non;non;non;non;oui;oui;non;non;non;non;non;non;;;;non;
"MULTIPOLYGON (((4.46568298554274 44.4402642401027,4.46645172839513 44.4404706221656,4.46698907319032 44.4405015712489,4.46797224869268 44.4404015110691,4.46869736628292 44.4401850104272,4.46927813409054 44.4398705550864,4.46942917271912 44.4393827310991,4.4695053013903 44.4391383574056,4.46973886957228 44.4386084463058,4.47025933892709 44.4381944021404,4.47032091871955 44.4375661792163,4.47020957947801 44.4368810460266,4.46995618879573 44.436158193284,4.46946775126478 44.4359256968879,4.46897472273643 44.4355718410737,4.46849626918948 44.4348731516833,4.46792300651653 44.4346216064441,4.46741538994173 44.4346116761625,4.46690648491808 44.4346008689527,4.46614315715435 44.4345356247788,4.46560814659645 44.4345649008496,4.46470257507437 44.4345230980239,4.46421614120321 44.4343094319201,4.46390041168074 44.4341941086475,4.46304243811646 44.4346146642354,4.46287980837211 44.4355282139371,4.46266008049372 44.435694400929,4.46247531641772 44.4360218383858,4.46236619758523 44.4361247083422,4.46227003982772 44.436570975261,4.46231871326298 44.4370954002186,4.46233014836097 44.4373983448791,4.46254997320591 44.4379995182883,4.4632041497054 44.4388972386945,4.46399021645925 44.4395297140746,4.46471620437106 44.4401003773957,4.46568298554274 44.4402642401027)))";26;Pas Chabrol;2856;Vautour percnoptere;1er mars - 30 septembre;non;oui;oui;non;non;non;non;non;non;non;non;non;non;non;non;oui;oui;non;non;non;;;;non;
"MULTIPOLYGON (((4.42880866197357 44.420040170532,4.43010218063824 44.4196187703516,4.4314481131904 44.4205736186121,4.4322605771412 44.4212912599566,4.43238020757507 44.4213690372392,4.43287522204566 44.4213811672094,4.4334921079285 44.4213288935236,4.43490333290378 44.4210347263658,4.43596887357509 44.4208623054105,4.43681149680093 44.4208047921472,4.43733901645164 44.420577888753,4.43852311568335 44.4199164948798,4.43912621388111 44.4196971300828,4.43979707369451 44.4197463387926,4.44027226294426 44.419799296761,4.44063423711429 44.4195431672449,4.44061614472357 44.419327613241,4.44067883309926 44.419023249504,4.44095334826365 44.4187445079159,4.44115544544932 44.4186776588301,4.44139265973731 44.4188116430795,4.44191441929144 44.418767444101,4.44269333571427 44.4193570123413,4.44381551632764 44.4190224001661,4.44465997817069 44.419048452419,4.44491351156425 44.4188132841028,4.44585977576394 44.4184406511949,4.44702638070392 44.417751612679,4.44749866370296 44.4171577904705,4.44788553252165 44.4166294814174,4.44861262306839 44.4158022531013,4.44854976591027 44.415699111342,4.44805796499419 44.4157715524915,4.44768122157607 44.4157994959714,4.44735387826867 44.4156384734276,4.44679496334026 44.4156951084423,4.4463405259459 44.4157263414409,4.44584958807964 44.4158554300547,4.44538398028167 44.4158230031768,4.44494280342063 44.4157055434306,4.44456638556424 44.4157757505334,4.44444197419761 44.4155703371836,4.44434840457728 44.415384121884,4.44400470196371 44.4155571508038,4.44366350566688 44.4157301304671,4.4432551129097 44.4157172857891,4.44273445806558 44.4157902571988,4.4423572304782 44.4158388821277,4.44243568437141 44.4155872905837,4.44282726133592 44.4151839526398,4.44302544467634 44.415012823077,4.44239438877629 44.4144824919402,4.44165442784562 44.4147656744728,4.44082962565905 44.4153986196124,4.44043460149296 44.4151723061339,4.44011263287986 44.4147511791618,4.43982360634855 44.4148088986236,4.43933606305881 44.4149954662408,4.43891704669286 44.4150340855903,4.43853470967831 44.4149793430412,4.4379000259922 44.4147207309931,4.43685754156073 44.4147676886766,4.43474672900344 44.4148080936334,4.43430711209747 44.4149676336917,4.4337348121302 44.4150019684366,4.43312127357285 44.4150748710696,4.43287805808188 44.4150147504257,4.43278247067971 44.4148069746344,4.43207011941119 44.414821488021,4.43197329410197 44.4149177943213,4.43169765344494 44.4149644414354,4.43140627742883 44.4149592126116,4.43114503573805 44.4149543070557,4.43099022047685 44.4148412176379,4.42961242216559 44.4148828150182,4.43026382562244 44.4159300893313,4.43018653771579 44.4161807493212,4.42926222141238 44.4156253565944,4.42904152846518 44.4159012415667,4.42951189898035 44.4164338148894,4.42902462248891 44.4166626112124,4.42893868614721 44.4178633953148,4.42852862447958 44.4185495038524,4.42794934008586 44.41863341803,4.4277112727447 44.4192532727333,4.42880866197357 44.420040170532)))";28;ravin de l'enfer;2856;Vautour percnoptere;1er mars - 30 septembre;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;oui;non;non;;;;non;
"MULTIPOLYGON (((4.53029887532057 44.3261501674991,4.53065898859324 44.3258074124277,4.53134724233672 44.3254922628651,4.53171129665952 44.3252510766775,4.53183332544836 44.3248123386728,4.53215754947651 44.3247392695526,4.53214062077545 44.3243042171525,4.53157049238247 44.324047576281,4.531325847083 44.3237502251304,4.5308327953529 44.3230908279127,4.53063319297 44.322759288791,4.52994104948554 44.3229413757567,4.52966703352868 44.3230809003605,4.52968394279035 44.3235159528448,4.52935584518335 44.3234892401321,4.52813125244742 44.3243845404781,4.52704428536103 44.3252428900276,4.52619284284064 44.3261648861763,4.52566164226564 44.3269113547946,4.52531048172004 44.3274212338081,4.52476632410225 44.3278342168995,4.52512952387677 44.3287975938663,4.52552738380808 44.3294265369309,4.52603955799459 44.3294162973477,4.52686426439507 44.329030980501,4.52708545287199 44.3286919157445,4.52748551645294 44.3282152357269,4.52766689780087 44.3280775704526,4.5281790197043 44.3280340375562,4.52864218921339 44.3279240144466,4.52937810467428 44.3276412075881,4.52951710092273 44.3276384239818,4.5300612975803 44.3272595994948,4.53032225590743 44.3267515116307,4.53029887532057 44.3261501674991)))";15;Grand louret;2856;Vautour percnoptere;1er mars - 30 septembre;non;non;non;non;non;non;non;non;non;non;oui;non;non;non;non;non;non;non;non;non;;;;non;
"MULTIPOLYGON (((4.4411091961734 44.4534963050582,4.44068539330795 44.4534290786681,4.4404028580643 44.4532610123546,4.43983778757702 44.4530593321398,4.43985348397944 44.4528352421954,4.44024589404002 44.4526559696207,4.44066969690545 44.4522638089451,4.44114058897815 44.4519612831961,4.44162717745328 44.4516363463869,4.44216085513566 44.4511321305175,4.44256896159863 44.4502133259623,4.44322821050038 44.4493729432862,4.44435835147484 44.4482972358166,4.4440758162312 44.4481627709899,4.4434322637318 44.4479722786222,4.44172135586756 44.4476137030684,4.44015171562517 44.447849018524,4.43977500196702 44.448364468114,4.43974360916223 44.4492720965527,4.43900587824836 44.4501124806798,4.43834662934661 44.4510536965467,4.43815827251758 44.4519052597374,4.43790713007886 44.4528352421954,4.43782864806681 44.4539556833189,4.43845650416381 44.4545943251406,4.43953955593107 44.4546503460198,4.44046564367407 44.4543030157022,4.4411091961734 44.4534963050582)))";30;la Riviere;2856;Vautour percnoptere;1er mars - 30 septembre;non;non;non;non;oui;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;;;;non;
