ID_NOM;NOM;ESPECE;Sensibilit;2012;2013;2014;2015;2016;2017;2018;2019;1974;1977;1992;1994;2004;2005;2006;2007;2009;2010;2011;2020;2021;2022;2023;2024;2025
"13";Cirque de la Madeleine;Faucon pelerin;1er fevrier-30 juin;oui;oui;oui;oui;oui;oui;oui;oui;non;non;non;non;non;non;non;non;non;non;non;oui;oui;oui;oui;non;oui
"17";Cirque Madeleine;Vautour percnoptere;1er mars - 30 septembre;non;non;non;non;oui;oui;oui;oui;non;non;non;non;non;non;non;non;non;non;non;non;;;;non;
"13";Cirque de la Madeleine;Faucon pelerin;1er fevrier-30 juin;oui;oui;oui;oui;oui;oui;oui;oui;non;non;non;non;non;non;non;non;non;non;non;non;;;;oui;
"13";Cirque de la Madeleine;Faucon pelerin;1er fevrier-30 juin;oui;oui;oui;oui;oui;oui;oui;oui;non;non;non;non;non;non;non;non;non;non;non;non;;;;non;
"13";Cirque de la Madeleine;Faucon pelerin;1er fevrier-30 juin;oui;oui;oui;oui;oui;oui;oui;oui;non;non;non;non;non;non;non;non;non;non;non;non;;;;non;
"22";Echarassou rive gauche;Vautour percnoptere;1er mars - 30 septembre;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;oui;oui;non;
"12";Le Drayet;Aigle de Bonelli;15 janvier-30 juin;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;oui;;non;
"40";Barri Troué;Aigle de Bonelli;15 janvier-30 juin;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;oui;oui;oui;oui
"41";Ribeirol;Grand-duc;15 décembre - 30 juin;;;;;;;;;;;;;;;;;;;;oui;oui;oui;oui;oui;oui
"40";Barri Troué;Grand-duc;15 décembre - 30 juin;;;;;;;;;;;;;;;;;;;;oui;oui;oui;oui;oui;oui
"43";Cathédrale;Grand-duc;15 décembre - 30 juin;;;;;;;;;;;;;;;;;;;;non;non;oui;oui;oui;oui
"44";Serre de Tourre;Grand-duc;15 décembre - 30 juin;;;;;;;;;;;;;;;;;;;;oui;oui;oui;oui;oui;oui
"1";Cirque d'Estre;Grand-duc;15 décembre - 30 juin;;;;;;;;;;;;;;;;;;;;;oui;oui;oui;oui;oui
"31";la Plaine du Tay;Vautour fauve;15 décembre - 31 aout;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;oui;oui;oui
"45";Piapala - Tiourre;Faucon pelerin;1er fevrier-30 juin;;;;;;;;;;;;;;;;;;;;;;;;oui;oui
"18";Chirolong;Faucon pelerin;1er fevrier-30 juin;;;;;;;;;;;;;;;;;;;;;;oui;oui;oui;oui
"23";Ranc du Bournet;Faucon pelerin;1er fevrier-30 juin;;;;;;;;;;;;;;;;;;;;;;;oui;oui;oui
"1";Trescouvieux;Circaete Jean-le-Blanc;1er mars - 31 juillet;;;;;;;;;;;;;;;;;;;;;;;;;
"2";Combe de Sentouze;Circaete Jean-le-Blanc;1er mars - 31 juillet;;;;;;;;;;;;;;;;;;;;;;;;;
"3";Travers de Rouvet;Circaete Jean-le-Blanc;1er mars - 31 juillet;;;;;;;;;;;;;;;;;;;;;;;;;
"4";Bois de Laval;Circaete Jean-le-Blanc;1er mars - 31 juillet;;;;;;;;;;;;;;;;;;;;;;;;;
"5";Combe de Valaurie;Circaete Jean-le-Blanc;1er mars - 31 juillet;;;;;;;;;;;;;;;;;;;;;;;;;
"6";le Moure de la Tour;Circaete Jean-le-Blanc;1er mars - 31 juillet;;;;;;;;;;;;;;;;;;;;;;;;;
"6";Combe du Cros;Circaete Jean-le-Blanc;1er mars - 31 juillet;;;;;;;;;;;;;;;;;;;;;;;;;
"7";Pied Chauvet;Circaete Jean-le-Blanc;1er mars - 31 juillet;;;;;;;;;;;;;;;;;;;;;;;;;
"8";Combe de Virac;Circaete Jean-le-Blanc;1er mars - 31 juillet;;;;;;;;;;;;;;;;;;;;;;;;;
"9";Source captée du Tiourre;Circaete Jean-le-Blanc;1er mars - 31 juillet;;;;;;;;;;;;;;;;;;;;;;;;;
"10";Ruisseau de Laval;Circaete Jean-le-Blanc;1er mars - 31 juillet;;;;;;;;;;;;;;;;;;;;;;;;;
"11";Ruisseau de l'Enfer;Circaete Jean-le-Blanc;1er mars - 31 juillet;;;;;;;;;;;;;;;;;;;;;;;;;
"12";Le Drayet;Circaete Jean-le-Blanc;1er mars - 31 juillet;;;;;;;;;;;;;;;;;;;;;;;;;
"13";Darbousset;Circaete Jean-le-Blanc;1er mars - 31 juillet;;;;;;;;;;;;;;;;;;;;;;;;;
"14";Les Toures;Circaete Jean-le-Blanc;1er mars - 31 juillet;;;;;;;;;;;;;;;;;;;;;;;;;
"15";Traverse;Circaete Jean-le-Blanc;1er mars - 31 juillet;;;;;;;;;;;;;;;;;;;;;;;;;
"16";Taysse;Circaete Jean-le-Blanc;1er mars - 31 juillet;;;;;;;;;;;;;;;;;;;;;;;;;
"29";Fontbelle;Vautour fauve;reposoir;oui;oui;oui;oui;oui;oui;oui;oui;oui;non;non;non;non;non;non;non;non;non;non;oui;;;;non;
"22";Echarassou;Vautour fauve;reposoir - dortoir;;;;;;;;;;;;;;;;;;;;;;;;;
"44";Serre de tourre;Vautour percnoptere;1er mars - 30 septembre;non;non;non;non;oui;oui;oui;oui;non;non;non;non;non;non;non;non;non;non;non;oui;oui;oui;oui;oui;oui
"37";Cirque de Gaud;Vautour percnoptere;1er mars - 30 septembre;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;oui;oui;oui;oui;oui;oui
"44";Serre de tourre;Vautour fauve;15 décembre au 31 août;;;;;;;;;;;;;;;;;;;;;;;;;oui
